LocMailCnt,count,timestamp,gear,tsns.hasTemp,tsns.temp,Gyro.hasTemp,Gryo.temp,Gyro.hasX,Gyro.x,Gyro.hasY,Gyro.y,Gyro.hasZ,Gyro.z,Gsns.hasTemp,Gsns.temp,Gsns.hasX,Gsns.x,Gsns.hasY,Gsns.y,Gsns.hasZ,Gsns.z,Pls.cycleTime,Pls.cycleCount,Pls.pulseCount
15045,211,1509299,1,0,0,1,34,1,40.000015,1,5.400002,1,-33.600018,0,0,1,-615.993713,1,-2284.376709,1,16152.23633,0,0,0
15046,212,1509400,1,0,0,1,34,1,65.800026,1,-21.20001,1,-26.800009,0,0,1,-620.593628,1,-2298.576416,1,16152.43555,0,0,0
15046,212,1509400,1,0,0,1,34,1,45.600018,1,-5.200003,1,-24.800011,0,0,1,-621.593628,1,-2300.976562,1,16146.23438,0,0,0
15047,213,1509499,1,0,0,1,34,1,13.800006,1,5.800002,1,-43.600018,0,0,1,-609.193787,1,-2302.376465,1,16140.03418,0,0,0
15047,213,1509499,1,0,0,1,34,1,27.800011,1,2.800001,1,-27.60001,0,0,1,-600.793884,1,-2297.776611,1,16135.03613,0,0,0
15048,214,1509598,1,0,0,1,34,1,69.800034,1,-9.800005,1,-25.800009,0,0,1,-605.793762,1,-2289.976562,1,16148.23535,0,0,0
15048,214,1509598,1,0,0,1,34,1,31.000015,1,-12.200006,1,-35.200012,0,0,1,-614.193665,1,-2278.976562,1,16138.03613,0,0,0
15049,215,1509699,1,0,0,1,34,1,39.000019,1,22.200008,1,-28.600012,0,0,1,-610.193787,1,-2301.976562,1,16143.83594,0,0,0
15049,215,1509699,1,0,0,1,34,1,14.000006,1,7.400004,1,-30.000011,0,0,1,-611.793762,1,-2294.376709,1,16146.43457,0,0,0
15050,216,1509797,1,0,0,1,34,1,34.200016,1,-6.600003,1,-33.800011,0,0,1,-620.993652,1,-2304.376465,1,16146.23535,0,0,0
15050,216,1509797,1,0,0,1,34,1,33.400013,1,16.200006,1,-43.000015,0,0,1,-608.193787,1,-2283.976562,1,16127.03613,0,0,0
15051,217,1509897,1,0,0,1,34,1,27.800013,1,1.2,1,-13.800006,0,0,1,-614.393738,1,-2302.576416,1,16142.03418,0,0,0
15051,217,1509897,1,0,0,1,34,1,17.600008,1,-20.60001,1,-28.400011,0,0,1,-593.993958,1,-2286.976807,1,16142.63477,0,0,0
15052,218,1510001,1,0,0,1,34,1,50.000023,1,-14.200006,1,-31.200012,0,0,1,-606.193848,1,-2299.176514,1,16151.23535,0,0,0
15052,218,1510001,1,0,0,1,34,1,27.800011,1,-24.800009,1,-13.600005,0,0,1,-616.393616,1,-2293.376465,1,16148.23535,0,0,0
15053,219,1510095,1,0,0,1,34,1,32.400013,1,-15.400005,1,-26.400011,0,0,1,-619.993652,1,-2290.176514,1,16147.43555,0,0,0
15053,219,1510095,1,0,0,1,34,1,33.60001,1,-10.000005,1,-42.600018,0,0,1,-619.793701,1,-2291.57666,1,16148.83398,0,0,0
15054,220,1510196,1,0,0,1,34,1,38.800018,1,2.800001,1,-26.20001,0,0,1,-611.393677,1,-2287.176514,1,16158.63477,0,0,0
15054,220,1510196,1,0,0,1,34,1,56.800022,1,-6.200003,1,-43.000019,0,0,1,-614.59375,1,-2291.776611,1,16140.63477,0,0,0
15055,221,1510295,1,0,0,1,34,1,51.800026,1,-36.000015,1,-50.600021,0,0,1,-615.793701,1,-2294.776611,1,16150.83594,0,0,0
15055,221,1510295,1,0,0,1,34,1,41.600018,1,-12.600005,1,-44.400024,0,0,1,-605.793823,1,-2295.176514,1,16144.03516,0,0,0
15056,222,1510398,1,0,0,1,34,1,62.800026,1,-15.600008,1,-32.800011,0,0,1,-607.993713,1,-2282.376709,1,16147.43555,0,0,0
15056,222,1510398,1,0,0,1,34,1,24.600008,1,1.800001,1,-31.800011,0,0,1,-608.593811,1,-2291.176758,1,16136.23438,0,0,0
15057,223,1510497,1,0,0,1,34,1,42.20002,1,-1.800001,1,-48.600021,0,0,1,-605.793823,1,-2305.776367,1,16150.03613,0,0,0
15057,223,1510497,1,0,0,1,34,1,7.600003,1,-4.400002,1,-31.200012,0,0,1,-615.793701,1,-2281.376709,1,16146.63574,0,0,0
15058,224,1510600,1,0,0,1,34,1,35.000015,1,-11.600005,1,-35.800014,0,0,1,-609.193787,1,-2300.576416,1,16149.03711,0,0,0
15058,224,1510600,1,0,0,1,34,1,50.400021,1,-25.20001,1,-37.400017,0,0,1,-604.593811,1,-2280.376709,1,16144.63477,0,0,0
15059,225,1510698,1,0,0,1,34,1,19.600008,1,-5.000002,1,-48.200024,0,0,1,-614.59375,1,-2300.576416,1,16154.23438,0,0,0
15059,225,1510698,1,0,0,1,34,1,22.200008,1,-4.400002,1,-25.800009,0,0,1,-615.993652,1,-2295.776611,1,16150.43359,0,0,0
15060,226,1510800,1,0,0,1,34,1,63.20002,1,4.000001,1,-36.200016,0,0,1,-619.593628,1,-2296.376465,1,16144.23633,0,0,0
15060,226,1510800,1,0,0,1,34,1,31.200016,1,-14.800007,1,-40.000015,0,0,1,-616.793701,1,-2297.376465,1,16142.03418,0,0,0
15061,227,1510897,1,0,0,1,34,1,23.800009,1,-18.000008,1,-38.800014,0,0,1,-619.79364,1,-2304.576416,1,16135.43652,0,0,0
15061,227,1510897,1,0,0,1,34,1,25.600012,1,-8.000004,1,-39.600018,0,0,1,-606.193787,1,-2297.776367,1,16134.43555,0,0,0
15062,228,1510996,1,0,0,1,34,1,53.200016,1,-17.800007,1,-50.400021,0,0,1,-608.793762,1,-2297.776367,1,16157.63379,0,0,0
15062,228,1510996,1,0,0,1,34,1,33.400013,1,-8.000003,1,-31.000011,0,0,1,-604.593872,1,-2300.176514,1,16144.83496,0,0,0
15063,229,1511098,1,0,0,1,34,1,38.200016,1,-6.400003,1,-35.600014,0,0,1,-616.393616,1,-2282.176514,1,16133.03516,0,0,0
15063,229,1511098,1,0,0,1,34,1,41.800022,1,-10.200005,1,-38.600014,0,0,1,-589.593994,1,-2293.976562,1,16150.43555,0,0,0
15064,230,1511196,1,0,0,1,34,1,24.20001,1,-12.400005,1,-46.800018,0,0,1,-615.993713,1,-2290.776611,1,16144.23633,0,0,0
15064,230,1511196,1,0,0,1,34,1,28.000011,1,-23.60001,1,-36.400017,0,0,1,-625.593567,1,-2305.576416,1,16159.63379,0,0,0
15065,231,1511294,1,0,0,1,34,1,25.000011,1,4.400002,1,-31.000015,0,0,1,-614.59375,1,-2287.976562,1,16144.03516,0,0,0
15065,231,1511294,1,0,0,1,34,1,-7.200003,1,0.2,1,-54.800022,0,0,1,-600.993896,1,-2284.976562,1,16150.63477,0,0,0
