# TimeStamp,latitude(deg),longitude(deg),height(m),std_n(m),std_e(m),std_d(m)
1094744,37.400431667,127.111676667,47.900,23.040,16.720,15.520
1095702,37.400453333,127.111695000,47.800,23.110,16.750,15.320
1096705,37.400476667,127.111715000,47.600,23.020,16.670,15.020
1097703,37.400483333,127.111720000,47.400,28.720,20.790,17.930
1098702,37.400490000,127.111723333,47.400,30.070,21.730,17.940
1099754,37.400485000,127.111718333,47.300,31.490,22.700,17.950
1100695,37.400488333,127.111720000,47.300,31.980,23.010,17.430
1101700,37.400490000,127.111720000,47.000,32.800,23.540,17.100
1102693,37.400500000,127.111726667,46.800,34.270,24.540,17.120
1103705,37.400518333,127.111741667,46.800,35.740,25.540,17.130
1104742,37.400533333,127.111755000,46.800,39.530,28.190,18.200
1106699,37.400530000,127.111750000,46.800,30.110,21.400,13.540
1108710,37.400520000,127.111736667,46.500,30.240,21.470,13.650
1109760,37.400495000,127.111713333,46.400,29.060,20.640,13.520
1111711,37.400480000,127.111700000,46.600,30.430,21.710,15.430
1112704,37.400463333,127.111685000,46.700,29.370,21.000,15.590
1113708,37.400450000,127.111671667,46.800,29.140,20.890,16.120
1114749,37.400436667,127.111660000,47.000,28.190,20.260,16.150
1115717,37.400436667,127.111658333,47.000,27.410,19.750,16.190
1116704,37.400443333,127.111665000,47.000,26.730,19.310,16.240
1117715,37.400443333,127.111665000,47.100,26.150,18.940,16.280
1118719,37.400430000,127.111653333,47.200,25.800,18.730,16.330
1119754,37.400425000,127.111648333,47.200,25.530,18.560,16.370
1120720,37.400405000,127.111625000,46.200,25.820,18.720,16.700
1121716,37.400390000,127.111611667,46.200,25.400,18.430,16.560
1122715,37.400376667,127.111600000,46.200,25.260,18.330,16.550
1123728,37.400348333,127.111571667,45.700,25.100,18.170,16.460
1124769,37.400313333,127.111536667,44.500,24.860,17.950,16.300
1125721,37.400295000,127.111520000,44.500,24.610,17.800,16.140
1126719,37.400275000,127.111503333,44.500,24.500,17.750,16.240
1127722,37.400266667,127.111495000,44.200,24.520,17.770,16.240
1128713,37.400263333,127.111495000,43.900,23.970,17.430,15.850
1129771,37.400275000,127.111498333,43.800,23.420,17.060,15.510
1130716,37.400288333,127.111505000,43.600,23.720,17.260,15.510
1131724,37.400305000,127.111513333,43.400,24.080,17.480,15.510
1132722,37.400296667,127.111496667,43.200,22.510,16.300,14.210
1133724,37.400301667,127.111486667,43.300,22.990,16.610,14.220
1134773,37.400311667,127.111490000,43.200,23.700,17.080,14.390
1135729,37.400318333,127.111496667,43.000,24.230,17.410,14.450
1136718,37.400341667,127.111513333,42.600,24.910,17.840,14.620
1137730,37.400358333,127.111535000,42.200,25.030,17.880,14.470
1138720,37.400378333,127.111558333,41.900,27.210,19.380,15.480
1139778,37.400415000,127.111583333,41.700,25.760,18.300,14.460
1140730,37.400453333,127.111610000,41.400,26.380,18.700,14.650
1141724,37.400473333,127.111618333,41.100,26.810,18.970,14.750
1142722,37.400486667,127.111623333,40.900,27.020,19.100,14.760
1143725,37.400498333,127.111630000,40.700,27.330,19.300,14.820
1144769,37.400493333,127.111628333,40.500,27.490,19.400,14.820
1145731,37.400500000,127.111621667,40.400,27.620,19.490,14.820
1146722,37.400506667,127.111618333,40.400,27.730,19.570,14.820
1147726,37.400510000,127.111620000,40.300,34.700,24.530,17.930
1148725,37.400493333,127.111616667,39.700,28.890,20.390,14.920
1149780,37.400490000,127.111620000,39.700,35.180,24.880,17.580
1150729,37.400476667,127.111611667,39.100,30.220,21.360,14.890
1151731,37.400466667,127.111603333,38.600,30.150,21.300,14.680
1152727,37.400455000,127.111600000,38.100,30.470,21.520,14.680
1153735,37.400436667,127.111598333,37.700,31.170,22.000,14.890
1154769,37.400443333,127.111606667,37.000,31.510,22.090,15.230
1155735,37.400448333,127.111620000,36.100,30.740,21.420,15.220
1156731,37.400428333,127.111601667,35.200,30.120,20.930,15.030
1157741,37.400423333,127.111590000,34.600,29.540,20.490,14.810
1158726,37.400415000,127.111593333,34.200,29.120,20.210,14.670
1159788,37.400410000,127.111595000,33.900,28.850,20.020,14.570
1160733,37.400395000,127.111571667,33.400,28.890,20.030,14.810
1161738,37.400403333,127.111576667,32.700,28.720,19.930,14.770
1162737,37.400391667,127.111570000,32.200,28.290,19.650,14.550
